arsenate,AsO4,3-
borate,BO3,3-
tetraborate,B4O7,2-
bromate,BrO3,-
hypobromite,BrO,-
carbonate,CO3,2-
cyanide,CN,-
oxalate,C2O4,2-
acetate,C2H3O2,-
tartrate,C4H4O6,2-
perchlorate,ClO4,-
chlorate,ClO3,-
chlorite,ClO2,-
hypochlorite,ClO,-
chromate,CrO4,2-
dichromate,Cr2O7,2-
periodate,IO4,-
iodate,IO3,-
hypoiodite,IO,-
hydrogen carbonate (bicarbonate),HCO3,-
hydrogen sulfate (bisulfate),HSO4,-
hydrogen sulfite (bisulfite),HSO3,-
hydrogen oxalate (binoxalate),HC2O4,-
hydrogen phosphate,HPO4,2-
dihydrogen phosphate,H2PO4,-
hydrogen sulfide,HS,-
permanganate,MnO4,-
amide,NH2,-
ammonium,NH4,+
nitrate,NO3,-
nitrite,NO2,-
hydroxide,OH,-
peroxide,O2,2-
phosphate,PO4,3-
phosphite,PO3,3-
thiocyanate,SCN,-
thiosulfate,S2O3,2-
sulfate,SO4,2-
sulfite,SO3,2-
selenate,SeO4,2-
hexafluorosilicate,SiF6,2-
silicate,SiO3,2-

